- Vehicle Number: STU901, UIN: UIN007, Kilometers: 43839
- Vehicle Number: VWX234, UIN: UIN008, Kilometers: 48726
- Vehicle Number: YZA567, UIN: UIN009, Kilometers: 53654
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 58916
- Vehicle Number: YZA567, UIN: UIN009, Kilometers: 53814
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 58772
- Vehicle Number: YZA567, UIN: UIN009, Kilometers: 53748
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 58611
- Vehicle Number: YZA567, UIN: UIN009, Kilometers: 53648
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 58662
- Vehicle Number: YZA567, UIN: UIN009, Kilometers: 53691
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 58603
- Vehicle Number: YZA567, UIN: UIN009, Kilometers: 53525
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 58560
- Vehicle Number: YZA567, UIN: UIN009, Kilometers: 53592
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 58527
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 57750
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 57693
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 57675
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 56021
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 55826
- Vehicle Number: BCD890, UIN: UIN010, Kilometers: 55013
